TipoRegistro,Fecha,Empleado,Cliente_Proveedor,NIF,Direccion,Productos,Cantidades,Precios,Total,MedioPago,Documento,Observaciones
VENTA,2025-06-14,Pedro López,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Batería 12V;Kit reparación,2;9,"46,85;8,94",174.16,efectivo,Etiqueta #V-793,
COMPRA,18-Jun-2025,Ana García,Suministros López,B23456789,"C/ Mayor 12, Madrid",Aceite lubricante;Filtro aire;Compresor portátil;Taladro 500W,7;9;8;10,"18.24;45.47;18,6;6,88",661.19,bizum,Garantía #C-503,Duplicado
COMPRA,02/07/2025,Marta Ruiz,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Cable 2m;Adaptador 12V;Aceite lubricante;Batería 12V,10;8;1;2,"23.45;75.4;52.78;50,14",990.76,tarjeta,Etiqueta #C-236,
COMPRA,2025.01.09,Ana García,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Kit reparación;Llave inglesa;Batería 12V;Compresor portátil,8;6;1;8,20.07;36.68;46.42;59.47,902.82,efectivo,Albarán #C-787,Falta confirmación
VENTA,14-Jun-2025,Ana García,MotoRepara,87654321N,"C/ Montaña 4, Granada",Batería 12V;Filtro aire,6;5,"12.7;50,57",,bizum,Albarán #V-200,
COMPRA,03/06/2025,Pedro López,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Aceite lubricante;Adaptador 12V,4;3,"66,76;54.86",384.02,tarjeta,Garantía #C-255,
COMPRA,2025-01-23,Ana García,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Aceite lubricante;Filtro aire;Batería 12V;Adaptador 12V,1;3;9;2,"55.43;47.4;32.73;26,62",545.44,transferencia,Etiqueta #C-768,Falta confirmación
VENTA,08/02/2025,Pedro López,Repara YA,77889900K,"C/ Valencia 6, Murcia",Cable 2m;Llave inglesa;Batería 12V;Aceite lubricante,6;5;5;10,"73.88;36,17;28.55;74.17",1508.58,efectivo,Garantía #V-786,
COMPRA,18-Oct-2025,Javier Torres,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Llave inglesa;Taladro 500W;Cable 2m;Adaptador 12V,10;8;5;9,"30.12;59,8;70.11;32.8",1631.22,bizum,Albarán #C-603,Pendiente pago
COMPRA,2025-08-26,Ana García,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Compresor portátil,4,40.55,162.2,tarjeta,Garantía #C-568,Pendiente pago
COMPRA,25-Aug-2025,Javier Torres,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Compresor portátil;Kit reparación;Taladro 500W,1;2;3,"40,53;25.85;63,76",,efectivo,Albarán #C-189,Falta confirmación
VENTA,24/09/2025,Marta Ruiz,FixCar,66778899Q,"Av. Levante 12, Alicante",Taladro 500W;Llave inglesa;Adaptador 12V;Batería 12V,3;7;4;1,"11,95;53.39;27.48;37.8",511.73,tarjeta,Recomendación de uso #V-676,Garantía extendida
VENTA,2025/06/08,Ana García,FastFix,11223344P,"Av. Elche 14, Elche",Llave inglesa;Taladro 500W;Aceite lubricante,8;3;8,"72,83;58.26;32.26",1015.5,tarjeta,Recomendación de uso #V-819,Pendiente pago
COMPRA,09-05-25,Ana García,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Adaptador 12V,6,12.96,77.76,tarjeta,Factura #C-684,Entrega parcial
VENTA,2025/03/23,Pedro López,Mecánica Pro,88776655A,"C/ Luna 19, Valencia",Llave inglesa,9,"48,44",435.96,efectivo,Recomendación de uso #V-874,Pendiente pago
COMPRA,2025/05/03,Ana García,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Kit reparación,5,"45,14",225.7,efectivo,Albarán #C-721,
COMPRA,2025.08.21,Pedro López,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Filtro aire,2,"13,78",27.56,bizum,Recomendación de uso #C-671,Falta confirmación
COMPRA,21-03-25,Pedro López,Suministros López,B23456789,"C/ Mayor 12, Madrid",Filtro aire;Adaptador 12V,7;10,"56,82;27.39",,tarjeta,Recomendación de uso #C-265,Garantía extendida
VENTA,06-06-25,Pedro López,ElectroMóvil,34567890H,"Av. Gran Vía 12, Madrid",Compresor portátil;Cable 2m;Adaptador 12V,8;8;8,"56,59;69,38;15.63",1132.8,bizum,Garantía #V-153,
VENTA,20-01-25,Ana García,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Taladro 500W;Kit reparación;Filtro aire,6;1;7,"47.76;70.61;63,82",803.91,tarjeta,Factura #V-965,Pendiente pago
COMPRA,21/08/2025,Marta Ruiz,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Aceite lubricante,8,"41,59",332.72,tarjeta,Factura #C-998,
COMPRA,23-Feb-2025,Ana García,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Taladro 500W;Filtro aire;Kit reparación;Llave inglesa,6;5;6;8,"16,86;33.18;64.71;55,84",1102.04,bizum,Factura #C-717,Pendiente pago
COMPRA,2025-06-21,Pedro López,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Llave inglesa,2,66.01,132.02,bizum,Recomendación de uso #C-993,Duplicado
COMPRA,2025.07.22,Marta Ruiz,ServiTool SL,A12345987,"C/ Portugal 3, Alicante",Kit reparación,5,49.64,,transferencia,Garantía #C-413,Pendiente pago
VENTA,2025.05.16,Marta Ruiz,AutoQuick,88990011T,"C/ Toledo 5, Toledo",Taladro 500W,6,"3,05",18.3,transferencia,Etiqueta #V-850,Pendiente pago
COMPRA,2025/01/11,Javier Torres,Distribuciones Almería,S55667788,"Av. Mediterráneo 23, Almería",Llave inglesa;Filtro aire;Taladro 500W;Compresor portátil,5;2;6;9,"3,13;9.34;57,76;36,63",813.07,bizum,Recomendación de uso #C-790,Garantía extendida
COMPRA,09-10-25,Ana García,Materiales Centro,B33445522,"C/ Serrano 14, Madrid",Adaptador 12V;Aceite lubricante,3;6,"74,56;7,55",268.98,efectivo,Garantía #C-799,Entrega parcial
COMPRA,23/10/2025,Javier Torres,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Taladro 500W,7,"78,91",552.37,transferencia,Albarán #C-157,Garantía extendida
COMPRA,25-Jun-2025,Pedro López,TECNO PARTS SL,B99887766,Polígono Norte Valencia,Taladro 500W;Kit reparación;Aceite lubricante,4;7;1,"9,49;9,34;8.38",111.72,transferencia,Etiqueta #C-183,Pendiente pago
VENTA,2025/05/26,Marta Ruiz,Motorline,55667788W,"C/ Castilla 22, Madrid",Llave inglesa,8,77.83,622.64,efectivo,Recomendación de uso #V-637,
VENTA,09/09/2025,Ana García,FixCar,66778899Q,"Av. Levante 12, Alicante",Batería 12V;Cable 2m;Llave inglesa,6;6;6,58.77;73.4;59.04,1147.26,bizum,Garantía #V-144,
VENTA,21-Aug-2025,Ana García,AutoMotor Sur,33445566J,"Ctra. Cádiz Km. 3, Jerez",Cable 2m;Taladro 500W;Kit reparación,2;10;2,"49,28;71.63;75.94",966.74,efectivo,Recomendación de uso #V-460,Pendiente pago
COMPRA,11-Mar-2025,Javier Torres,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Aceite lubricante;Llave inglesa,10;5,"57.42;77,41",,transferencia,Recomendación de uso #C-982,Duplicado
VENTA,04-04-25,Pedro López,Autorecambios Gil,56789012M,"C/ Palmera 1, Cádiz",Batería 12V,2,"15,84",31.68,efectivo,Etiqueta #V-503,Duplicado
VENTA,2025.05.02,Pedro López,Repuestos Hermanos Gil,22334455R,"C/ Prado 4, Córdoba",Llave inglesa;Filtro aire,2;10,"62.36;60,46",729.32,tarjeta,Albarán #V-504,
COMPRA,2025.04.19,Pedro López,TecnoParts S.L.,B99887766,"Pol. Ind. Norte, Valencia",Filtro aire,6,36.81,220.86,efectivo,Albarán #C-830,Entrega parcial
COMPRA,22-Mar-2025,Marta Ruiz,Suministros Lopez,B23456789,"C/ Mayor 12, Madrid",Filtro aire;Taladro 500W,4;10,"31,6;9,87",225.1,efectivo,Recomendación de uso #C-661,Garantía extendida
COMPRA,2025-04-24,Ana García,Proveedora Levante,C44556677,"C/ Aragón 12, Castellón",Adaptador 12V;Cable 2m;Filtro aire;Compresor portátil,6;4;6;3,"53.5;47.73;66.9;19,55",971.97,bizum,Albarán #C-702,Falta confirmación
VENTA,12-04-25,Ana García,EconoCar,89012345Y,"C/ Madrid 8, Albacete",Llave inglesa,7,"18,71",,tarjeta,Garantía #V-112,
VENTA,21-Jun-2025,Javier Torres,FastFix,11223344P,"Av. Elche 14, Elche",Adaptador 12V;Cable 2m;Taladro 500W;Kit reparación,2;4;1;2,"21.41;17,11;40.59;71.68",295.21,efectivo,Albarán #V-788,
VENTA,2025-08-13,Javier Torres,ElectroMóvil,34567890H,"Av. Gran Vía 12, Madrid",Kit reparación,5,26.38,131.9,transferencia,Recomendación de uso #V-122,Duplicado
VENTA,27/05/2025,Marta Ruiz,AutoMotor Sur,33445566J,"Ctra. Cádiz Km. 3, Jerez",Filtro aire;Adaptador 12V;Kit reparación;Batería 12V,10;10;6;3,"53,99;24.16;49,64;55,9",1247.04,transferencia,Recomendación de uso #V-838,Garantía extendida
